>> aali hupatikana kwa ghali. --	whatever is superior is found at great price. advice given to youth.
>> aliyezoea kupokea kutoa ni vita. --	for a person accustomed to receive, giving is like a war. said of a hard, selfish person, a miser.
>> aliyezoea kupokea, kutoa ni vita. --	to one used to receive, giving is like a battle. see also the section gifts.
>> alla, alla, jirani kama ndugu mli kule. --	by god, it is from the neighbor [that help is expected] when your relative is away
>> allahu jirani yetu kama ndugu mli kule. --	god is our neighbor when our brother is absent. allahu: almighty god. allahu akba, great almighty god.
>> aloachwa kaachiwa mengi. --	the people who are left [bereft, bereaved] find that they are left with many things [burdens].
>> alokunyowa, mekupunguza kuchana. --	the person who cut your hair has also diminished [taken away the need of] combing. if one harms you, you are excused from being kind to that person.
>> alo na jaha humwambia heri na asofaulu humwambia habalu. --	if you succeed people say nice things to you, but if you fail they call you irresponsible. alo for aliye: the one who. jaha: honor, glory, prosperity. habalu or habali: irresponsible.
>> amani haihitaji mlinzi. --	peace does not need a guard. indeed peace cannot be kept by armed forces, because it is the opposite of quarreling and fighting.
>> amani haipatikani bila thamani. --	peace is not obtained without cost.
>> amani haipatikani ila kwa ncha ya upanga. --	peace comes not save by the point of the sword.
>> amani ni njia ya mapenzi na ufahamiano. --	peace is a way to love and understanding.
>> ama ulimi na mate. --	like the tongue and the saliva.
>> ambaye hashikamani nawe, si wako mwandani. --	the one who does not stick with you is not your friend.
>> ambiwaye ngano nae ana zake. --	people who are told tall stories, have their own to tell. "said when a story is not believed."
>> ameangukiwa kikuti kibichi. --	a green palm-leaf has befallen on he. somebody has been lucky. a poor person has found good fortune. instead of kibichi [green, fresh], chema [good] is also used. ameangukiwa na msiba. that person has encountered misfortune.
>> amechagua nazi akapata dafu. --	so-and-so has chosen the fully grown coconut and got the unripe one. usage: of somebody who is not satisfied with possessions. the chances are that that person might lose all.
>> amefanyaye kafara na dawa ili awe na bwana, mwisho wake hulemewa na mazito kujaliwa. --	somebody made an offering of an amulet and medicine in order to be with the master, at the end that person will be overloaded with all the things granted. bwana: master, boss, even husband.
>> amefurahi, meno hayaumi mkate. --	 that one is happy, that person's teeth don't bite the bread. usage: when somebody in a good mood does not respond to an insult.
>> amegusa mwa munda. --	he has touched the garden fruits. has eaten the forbidden fruit and lost paradise.
>> amejifunga kwa ulimi wake. --	it is the tongue that bound its owner what was said lightly has come to pass, and has caught up with that person.
>> amejiua kwa kisu chake. --	he has committed suicide with his own knife. someone teiling a secret to someone not trustworthy.
>> amekaa katika kivuli cha mumewe. --	she lived in the shadow of her husband. said of a widow living with her children, without remarrying.
>> amekalia mguu wa kausha. --	that person sat at the foot of mr. trouble. example: when the teacher refuses to student to go to the hospital, "mwalimu amenikalia mguu wa kausha": the teacher put me down at the foot of mr. kausha. kausha: a person in misfortune, trouble.
>> amekipanda chombo mwamba. --	he has thrown the boat on a cliff. has lost everything.
>> amekuja hapa akatoa mavi yake. --	that person came here to tell dirt. mavi: excrement, nonsense.
>> amekuja kwa meno ya juu. --	 that person came with upper teeth. with brute force.
>> amekula chumvi nyingi. jchumvi. --	that person has eaten much salt. has lived long; has much experience.
>> amekula ngano. --	he has eaten wheat. muslims believe that the "forbidden fruit" was wheat.
>> amekula ngano, imemtoa peponi. --	he has eaten wheat, it turned that person out of paradise.
>> amekula tunda la shetani. --	he has eaten satan's fruit.
>> amekwenda mrisi. --	that person went bankrupt. did not succeed.
>> amemfanya mumewe ng'ombe ya shemeri. --	she leads her husband like an ox by its nose-ring.
>> amepata fimbo atapata mambo. --	the one who has got a stick [to beat a dog] will get trouble.
>> amepeleka kilio matangani. --	somebody has sent a wail to the scene of mourning. said when someone does something very apropos"
>> amerudisha tende manga. --	he has sent back dates to arabia.
>> ameshikwa na dhiki. --	he is in difficulties.
>> ameshikwa na ultima. julitima; --	that person has got a run of ill-luck. someone has got into the grip of unemployment, etc. ultima or ulitima or uritima: the last round in a game of cards. portuguese: ultimo? ultima also means shortage of money
>> ameshikwa ni malimwengu. --	someone has been caught by the changes of the world.
>> ametia mbugi miguuni. --	some people put bells on their legs. are in a hurry. mbugi, a collar with bells.
>> ametoa mleli. --	that person has put out a tail-feather. one is prospering.
>> ametoa nguo jogoo, mkewe hakuzipata. --	the rooster has discarded clothes, [but] his wife did not get any. of people spending their property on others, but not on their family.
>> ametoa sadaka na wanawe wafa njaa. --	that person has given to charity while the children are starving. of people who neglect their own while spending money on others.
>> ametoa waadhi akajisahau. --	one gave a sermon and did not do a thing for self-improvement. said of someone who gives advice but does not practice it.
>> ametubwikia kisimani. --	that person has fallen into the well. has got into a plight where help is needed.
>> amevua shingo yake mbele ya mungu na moto wa kesho siku ya kiyama. --	before god someone has saved his neck from tomorrow's fire on the day of the resurrection. said of somebody giving freedom to a slave.
>> amezaye ng'ongo atumaini mkundu. --	one who has swallowed a strip of raffia hopes for the best.
>> amezaye tunda zima zima hujiaminisha koo lake. --	if you swallow a whole fruit you put your trust in your throat. you do that at your own risk. somebody who boasts should be ready to be challenged.
>> amfuataye mwivi huogopewa kuwa mwivi. --	one who follows a thief is feared to become a thief.
>> amina ni kuamini. --	trust is having confidence. it comes by practice and experience.
>> aminia uonayo, siyo uyasikiayo. --	trust what you see, do not believe all you hear.
>> amini lakini usipite mpaka. --	have trust, but do not go too far,
>> amletae nyoka nyumbani akili zake hazimo kichwani. --	one who brings a snake home has a head without brains.
>> amnyimae punda adesi, kampunguzia mashuzi. --	the person who withholds lentils from a donkey, reduces its passing of wind. if someone refuses me a service, i don't have to show any gratitude, either. if someone denies you something, don't complain. perhaps you escape other difficulties, such as paying a debt. this proverb can be used whenever assistance is not forthcoming. one never knows the outcome of gifts or refusal of them, so don't be too sorry. most gifts will bind you to the giver.
>> ampae maana shetani, hujipatisha ghadhabu za rahmani. --	a person who pays heed to satan deserves divine anger.
>> ampaye mtu kazi wapatane ujira. --	one who gives work to a person should agree upon wages.
>> amri ina mungu. --	a command is with god. the na in ina stresses association rather than possession
>> amwasie azizi muumba umwongoe. --	put the person who revolts against the loving creator back on the right path. a person who revolts stands in the need of prayer. it is a dangerous business to revolt against authority. azizi, the strong one by excellence.
>> amwoleelo dayyani mutwana likamujiri. --	that which god the judge has written for a person, that will happen to the slave (i.e. the mortal).
>> amzinduaye simba hana budi kuliwa. --	a person who scares a sleeping lion will be devoured. don't expose yourself to danger. zindua: wake up suddenly from a deep sleep.
>> amzinduaye simba hana buni kuliwa. --	the one who awakens a lion with a start does not have an ostrich to eat. either the lion will eat the ostrich or set it running. this is either a misprint or a word play. buni: ostrich. hana budi: he must; no way out.
>> anaanguka mwereka wa maziwa. --	that person has gone down like the breast of an old woman.
>> ana bahati kama mzalia kwao. --	she is lucky as one who gave birth at home [in the family].
>> anadaiwa hata kope si zake. --	that person is so deep in debt his eyelids are not even his own. idiom: ana madeni chungu nzima, he has a big pot full of debts
>> ana mkono wa birika. --	a person with a hand like a vessel.
>> ana nchi yake simba, ana maji yake mamba. --	the lion has its land, the crocodile has its water. "and never the twain shall meet"
>> ana usingizi kama pili. --	so and so sleeps like a puff adder.
>> ana uso mwingine kwa mungu na mwingine kwa shetani. --	that person has one face [eye] to god and another to the devil. about people who change their beliefs, or positions, continuously.
